Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Assistant Triage Result,Assistant Triage Reason,Assistant Component,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
674825611,python.fastapi.code.tainted-code-stdlib-fastapi.tainted-code-stdlib-fastapi,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments/blob/cb041468a6bb381964a86974bd105b953f9b12cc/week6/backend/app/routers/notes.py#L104,https://semgrep.dev/orgs/wersling_cn/findings/674825611,2026-01-13 10:41:54.719174,2026-01-13 10:41:54.700248,refs/heads/master,,,,"The application might dynamically evaluate untrusted input, which can lead to a code injection vulnerability. An attacker can execute arbitrary code, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing code containing user input. If this is unavoidable, validate and sanitize the input, and use safe alternatives for evaluating user input."
674825610,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments/blob/cb041468a6bb381964a86974bd105b953f9b12cc/week6/backend/app/routers/action_items.py#L33,https://semgrep.dev/orgs/wersling_cn/findings/674825610,2026-01-13 10:41:54.719157,2026-01-13 10:41:54.700241,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
674825609,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments/blob/cb041468a6bb381964a86974bd105b953f9b12cc/week6/backend/app/routers/notes.py#L33,https://semgrep.dev/orgs/wersling_cn/findings/674825609,2026-01-13 10:41:54.719140,2026-01-13 10:41:54.700236,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
674825608,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments/blob/cb041468a6bb381964a86974bd105b953f9b12cc/week6/backend/app/routers/notes.py#L80,https://semgrep.dev/orgs/wersling_cn/findings/674825608,2026-01-13 10:41:54.719124,2026-01-13 10:41:54.700231,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
674825607,python.fastapi.db.sqlalchemy-fastapi.sqlalchemy-fastapi,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments/blob/cb041468a6bb381964a86974bd105b953f9b12cc/week6/backend/app/routers/notes.py#L72,https://semgrep.dev/orgs/wersling_cn/findings/674825607,2026-01-13 10:41:54.719107,2026-01-13 10:41:54.700226,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. Use the SQLAlchemy ORM provided functions to build SQL queries instead to avoid SQL injection."
674825606,python.tars.fastapi.sql.aiosqlite.fastapi-aiosqlite-sqli.fastapi-aiosqlite-sqli,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments/blob/cb041468a6bb381964a86974bd105b953f9b12cc/week6/backend/app/routers/action_items.py#L33,https://semgrep.dev/orgs/wersling_cn/findings/674825606,2026-01-13 10:41:54.719090,2026-01-13 10:41:54.700221,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
674825605,python.tars.fastapi.sql.aiosqlite.fastapi-aiosqlite-sqli.fastapi-aiosqlite-sqli,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments/blob/cb041468a6bb381964a86974bd105b953f9b12cc/week6/backend/app/routers/notes.py#L33,https://semgrep.dev/orgs/wersling_cn/findings/674825605,2026-01-13 10:41:54.719073,2026-01-13 10:41:54.700216,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
674825604,python.tars.fastapi.sql.aiosqlite.fastapi-aiosqlite-sqli.fastapi-aiosqlite-sqli,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments/blob/cb041468a6bb381964a86974bd105b953f9b12cc/week6/backend/app/routers/notes.py#L80,https://semgrep.dev/orgs/wersling_cn/findings/674825604,2026-01-13 10:41:54.719057,2026-01-13 10:41:54.700210,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
674825603,python.tars.fastapi.sql.aiosqlite.fastapi-without-url-path-aiosqlite-sqli.fastapi-without-url-path-aiosqlite-sqli,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments/blob/cb041468a6bb381964a86974bd105b953f9b12cc/week6/backend/app/routers/action_items.py#L33,https://semgrep.dev/orgs/wersling_cn/findings/674825603,2026-01-13 10:41:54.719040,2026-01-13 10:41:54.700205,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
674825602,python.tars.fastapi.sql.aiosqlite.fastapi-without-url-path-aiosqlite-sqli.fastapi-without-url-path-aiosqlite-sqli,Code,Critical,Open,High,security,False,,,,local_scan/modern-software-dev-assignments/week6,https://github.com/mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments/blob/cb041468a6bb381964a86974bd105b953f9b12cc/week6/backend/app/routers/notes.py#L33,https://semgrep.dev/orgs/wersling_cn/findings/674825602,2026-01-13 10:41:54.719024,2026-01-13 10:41:54.700200,refs/heads/master,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. To prevent this vulnerability, use prepared statements that do not concatenate user-controllable strings and use parameterized queries where SQL commands and user data are strictly separated. Also, consider using an object-relational (ORM) framework to operate with safer abstractions."
